spine;title;img;director;country;year;link
101;Cries and Whispers;https://s3.amazonaws.com/criterion-production/films/8968996394900a7ff0de5a53d03ac392/mCvLwTDCAXEVyMHp4om3piFvSm2nzL_thumbnail.jpg;Ingmar Bergman;Sweden;1972;https://www.criterion.com/films/237-cries-and-whispers
102;The Discreet Charm of the Bourgeoisie;https://s3.amazonaws.com/criterion-production/films/ec5399163d6dca9c04ee961a15f1c863/JegycjW6BfTUczUHnh51sLyJCVKQoy_thumbnail.jpg;Luis Buñuel;France;1972;https://www.criterion.com/films/310-the-discreet-charm-of-the-bourgeoisie
103;The Lady Eve;https://s3.amazonaws.com/criterion-production/films/4f5175b5c0e1c0619b482a9650356cc8/AHoTWP6XqNreD4aGRUKfGB3ASi3IVz_thumbnail.jpg;Preston Sturges;United States;1941;https://www.criterion.com/films/639-the-lady-eve
104;Double Suicide;https://s3.amazonaws.com/criterion-production/films/0cfec1498639e5e592f6be9b58e86f04/foA3fkZR1nsGvXT3pyKNNN0b05Ht5Q_thumbnail.jpg;Masahiro Shinoda;Japan;1969;https://www.criterion.com/films/640-double-suicide
105;Spartacus;https://s3.amazonaws.com/criterion-production/films/e1d28e10aec9e7e4e26e1f7eaaa39b68/oMuO4YgOTDxILEf87wCLwyLMPvoYPp_thumbnail.jpg;Stanley Kubrick;United States;1960;https://www.criterion.com/films/449-spartacus
106;Coup de torchon;https://s3.amazonaws.com/criterion-production/films/d0b735e2514d89193aedce88c1dcca8f/cE143kEvrQMUNQgScnzItDD0iU4kxu_thumbnail.jpg;Bertrand Tavernier;France;1981;https://www.criterion.com/films/647-coup-de-torchon
107;Mona Lisa;https://s3.amazonaws.com/criterion-production/films/3596a424aaf2fbfcecb1acdaefff5aa9/J2myVyWD48oCQfQa7yHRkDMHwtv9Ob_thumbnail.jpg;Neil Jordan;United Kingdom;1986;https://www.criterion.com/films/648-mona-lisa
108;The Rock;https://s3.amazonaws.com/criterion-production/films/07f4eeb745b2223e67ad82c6dc2e3ed3/o6c4ES95CWTBBINB8ahqL4niihMuLT_thumbnail.jpg;Michael Bay;United States;1996;https://www.criterion.com/films/649-the-rock
109;The Scarlet Empress;https://s3.amazonaws.com/criterion-production/films/c05defa71a39ec72507b17454065cd64/tUBuNvf4JbyjwJW1M4Yz0vh4zXy6ku_thumbnail.jpg;Josef von Sternberg;United States;1934;https://www.criterion.com/films/431-the-scarlet-empress
110;Monsieur Hulot’s Holiday;https://s3.amazonaws.com/criterion-production/films/2d61eabe4e6c3f807bf33eb2ca772c5b/Jgz5xA9nzj8AMHZkq936OqiiYrrY1Q_thumbnail.jpg;Jacques Tati;France;1953;https://www.criterion.com/films/360-monsieur-hulot-s-holiday
111;Mon oncle;https://s3.amazonaws.com/criterion-production/films/0a436dbf0865b63393c35846b989ba4c/cofkAT1oceBnZHsOyale1NmIJZ2Omj_thumbnail.jpg;Jacques Tati;France;1958;https://www.criterion.com/films/650-mon-oncle
112;PlayTime;https://s3.amazonaws.com/criterion-production/films/9bd43f2e07b01034ff5487b44c4f7c03/TLTI0yP5cgj14Z6tplIMqlLruAT8eD_thumbnail.jpg;Jacques Tati;France;1967;https://www.criterion.com/films/651-playtime
113;Big Deal on Madonna Street;https://s3.amazonaws.com/criterion-production/films/3ea30a24e22aa24b78417d7c2e5a9c82/TiFmiKcnV2SowrX7dD8EgDucoPy0jI_thumbnail.jpg;Mario Monicelli;Italy;1958;https://www.criterion.com/films/652-big-deal-on-madonna-street
114;My Man Godfrey;https://s3.amazonaws.com/criterion-production/films/faae05a1b170149a490b96749d940a7f/BeabnGRtbsbWPi0gQYY7xJClHmZjMg_thumbnail.jpg;Gregory La Cava;United States;1936;https://www.criterion.com/films/653-my-man-godfrey
115;Rififi;https://s3.amazonaws.com/criterion-production/films/f27531f76e2f90c59e79e69450fcf15a/6S7s7O3eZcEEsK7WZcS41azRPFUVqP_thumbnail.jpg;Jules Dassin;France;1955;https://www.criterion.com/films/654-rififi
116;The Hidden Fortress;https://s3.amazonaws.com/criterion-production/films/58e97ae4dd0b361bd131525faf284b78/K10x3FugjRS01iYKEXsLTr0OlDQk4P_thumbnail.jpg;Akira Kurosawa;Japan;1958;https://www.criterion.com/films/655-the-hidden-fortress
117;Diary of a Chambermaid;https://s3.amazonaws.com/criterion-production/films/72cae6c4314633b132ea3344963cbb28/55oQcXOOXFWiiCcbKksF9JdYBABk2U_thumbnail.jpg;Luis Buñuel;France;1964;https://www.criterion.com/films/656-diary-of-a-chambermaid
118;Sullivan’s Travels;https://s3.amazonaws.com/criterion-production/films/3ab3e39d4fbbf677631b93028f6045ea/uKI5bkkhVMW2pC5keD0U3WaykHKvqW_thumbnail.jpg;Preston Sturges;United States;1941;https://www.criterion.com/films/657-sullivan-s-travels
119;Withnail and I;https://s3.amazonaws.com/criterion-production/films/11fe63e2163ddad8d0b90410b694962a/wlzPkRYEwY3j5dey42L3alx8d9Uy2x_thumbnail.jpg;Bruce Robinson;United Kingdom;1987;https://www.criterion.com/films/658-withnail-and-i
120;How to Get Ahead in Advertising;https://s3.amazonaws.com/criterion-production/films/9b503d25f9288727a1756d1fb72a1e74/1on26U0trF1EOH2JitADZmXNIvkAHt_thumbnail.jpg;Bruce Robinson;United Kingdom;1989;https://www.criterion.com/films/660-how-to-get-ahead-in-advertising
121;Billy Liar;https://s3.amazonaws.com/criterion-production/films/c81a1b649bd2025252c0d110b7ee9452/klKcHBRdhOpxleS4lzt62XrG5f4CPY_thumbnail.jpg;John Schlesinger;United Kingdom;1963;https://www.criterion.com/films/662-billy-liar
122;Salesman;https://s3.amazonaws.com/criterion-production/films/de3ced1c9ab41dc9a3e5d6ad17fb9ba1/nabE9bhsoCoicrC939dTgyUCFmDu2n_thumbnail.jpg;David Maysles, Albert Maysles, and Charlotte Zwerin;United States;1969;https://www.criterion.com/films/663-salesman
123;Grey Gardens;https://s3.amazonaws.com/criterion-production/films/965817a276fd019b8332f2b4f2bce811/N7zIcrxGOZS992boXjTyy5hJqmh8fd_thumbnail.jpg;David Maysles, Albert Maysles, Ellen Hovde, and Muffie Meyer;United States;1975;https://www.criterion.com/films/664-grey-gardens
124;Carl Theodor Dreyer;https://s3.amazonaws.com/criterion-production/product_images/1860-82b0f5807053a21a1cae335b8d477d7f/ZA7wOpAzBD7Xh0bDvZhFii5RQ8BD02_small.jpg; ;; ;https://www.criterion.com/boxsets/254-carl-theodor-dreyer
125;Day of Wrath;https://s3.amazonaws.com/criterion-production/films/a08cc86b0a4c76930a70c79b6e28cb30/VCRpDPd7SFdURJulHsifKoXIDk8rwp_thumbnail.jpg;Carl Th. Dreyer;Denmark;1943;https://www.criterion.com/films/442-day-of-wrath
